statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-S40-S49;Verletzungen der Schulter und des Oberarmes;154983;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-J30-J39;Sonstige Krankheiten der oberen Atemwege;271258;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-K90-K93;Sonstige Krankheiten des Verdauungssystems;67037;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-C43-C44;Melanom und sonstige BN der Haut;115755;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-N30-N39;Sonstige Krankheiten des Harnsystems;262437;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-O60-O75;Komplikationen bei Wehentätigkeit und Entbindung;314439;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-O85-O92;Komplikationen, die vorw. im Wochenbett auftreten;12189;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-E40-E46;Mangelernährung;2027;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-S10-S19;Verletzungen des Halses;31143;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-C69-C72;BN des Auges/Gehirns/Zentralnervensystems;29860;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-I10-I15;Hypertonie (Hochdruckkrankheit);220449;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-H60-H62;Krankheiten des äußeren Ohres;8158;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-L55-L59;Kh.d. Haut u.d. Unterhaut durch Strahleneinwirkung;3480;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Z00-Z13;Inanspruchnahme Gesundheitswesen, Untersuchung;66871;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Z40-Z54;Inanspruchn. Gesundheitswesen, med.Betreuung u.Ä.;58548;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Q50-Q56;Angeborene Fehlbildungen der Genitalorgane;11431;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Q10-Q18;Angeborene Fehlbildungen, Auge/Ohr/Gesicht/Hals;7962;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-J80-J84;Sonst.Kh.d.Atmungsorg.,hpts.Interstitium betreff.;23346;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-C97-C97;BN als Primärtumoren an mehreren Lokalisationen;-;Anzahl;GES025;Entlassene Patienten;
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-M80-M85;Veränderungen der Knochendichte und -struktur;55212;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-M00-M03;Infektiöse Arthropathien;18877;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-I30-I52;Sonstige Formen der Herzkrankheit;1131817;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-H49-H52;Affekt.d.Augenmuskels,Stör.d.Blickbewegung u.Ä.;11773;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-D70-D77;Sonstige Kh. des Blutes und der blutbilden Organe;9124;Anzahl;GES025;Entlassene Patienten;e
