statistics_code,jahr,1_variable_code,2_variable_code,ICD-2,anzahl
23131,2018,DINSG,ICD10B,ICD10-G30-G32,26296
23131,2019,DINSG,ICD10B,ICD10-Q60-Q64,7086
23131,2015,DINSG,ICD10B,ICD10-A90-A99,834
23131,2019,DINSG,ICD10B,ICD10-J60-J70,38191
23131,2023,DINSG,ICD10B,ICD10-N70-N77,20098
23131,2018,DINSG,ICD10B,ICD10-T80-T88,282619
23131,2019,DINSG,ICD10B,ICD10-G70-G73,10574
23131,2020,DINSG,ICD10B,ICD10-M20-M25,178527
23131,2020,DINSG,ICD10B,ICD10-S20-S29,94958
23131,2016,DINSG,ICD10B,ICD10-B20-B24,1024
23131,2014,DINSG,ICD10B,ICD10-O30-O48,277737
23131,2017,DINSG,ICD10B,ICD10-M30-M36,45051
23131,2022,DINSG,ICD10B,ICD10-G40-G47,326657
23131,2023,DINSG,ICD10B,ICD10-O80-O84,149548
23131,2016,DINSG,ICD10B,ICD10-H25-H28,101913
23131,2019,DINSG,ICD10B,ICD10-Z55-Z65,73
23131,2017,DINSG,ICD10B,ICD10-R95-R99,129
23131,2017,DINSG,ICD10B,ICD10-I20-I25,647893
23131,2015,DINSG,ICD10B,ICD10-L00-L08,142875
23131,2017,DINSG,ICD10B,ICD10-A15-A19,8026
23131,2020,DINSG,ICD10B,ICD10-M86-M90,26204
23131,2022,DINSG,ICD10B,ICD10-H40-H42,63771
23131,2015,DINSG,ICD10B,ICD10-G70-G73,10116
23131,2022,DINSG,ICD10B,ICD10-M65-M68,18212
23131,2014,DINSG,ICD10B,ICD10-N10-N16,165056
23131,2016,DINSG,ICD10B,ICD10-G90-G99,37418
23131,2016,DINSG,ICD10B,ICD10-J60-J70,38155
23131,2022,DINSG,ICD10B,ICD10-F70-F79,6534
23131,2020,DINSG,ICD10B,ICD10-Q00-Q07,3092
23131,2018,DINSG,ICD10B,ICD10-E70-E90,207806
23131,2014,DINSG,ICD10B,ICD10-Q10-Q18,9732
23131,2017,DINSG,ICD10B,ICD10-S70-S79,222933
23131,2018,DINSG,ICD10B,ICD10-A90-A99,379
23131,2021,DINSG,ICD10B,ICD10-C60-C63,99094
23131,2020,DINSG,ICD10B,ICD10-J00-J06,55385
23131,2021,DINSG,ICD10B,ICD10-H46-H48,8848
23131,2019,DINSG,ICD10B,ICD10-H43-H45,11046
23131,2016,DINSG,ICD10B,ICD10-B00-B09,38205
23131,2015,DINSG,ICD10B,ICD10-E50-E64,3161
23131,2019,DINSG,ICD10B,ICD10-M70-M79,187803
23131,2017,DINSG,ICD10B,ICD10-M60-M63,17007
23131,2017,DINSG,ICD10B,ICD10-Q10-Q18,9270
23131,2022,DINSG,ICD10B,ICD10-O10-O16,24227
23131,2022,DINSG,ICD10B,ICD10-L10-L14,6128
23131,2020,DINSG,ICD10B,ICD10-Q30-Q34,2027
23131,2023,DINSG,ICD10B,ICD10-S20-S29,94715
23131,2020,DINSG,ICD10B,ICD10-K80-K87,339175
23131,2021,DINSG,ICD10B,ICD10-R47-R49,4013
23131,2018,DINSG,ICD10B,ICD10-B90-B94,5
23131,2019,DINSG,ICD10B,ICD10-R50-R69,253439
23131,2022,DINSG,ICD10B,ICD10-K40-K46,255746
23131,2018,DINSG,ICD10B,ICD10-H55-H59,2174
23131,2020,DINSG,ICD10B,ICD10-K00-K14,65129
23131,2014,DINSG,ICD10B,ICD10-R95-R99,70
23131,2022,DINSG,ICD10B,ICD10-G35-G37,37408
23131,2023,DINSG,ICD10B,ICD10-M15-M19,470644
23131,2018,DINSG,ICD10B,ICD10-C51-C58,73231
23131,2021,DINSG,ICD10B,ICD10-T66-T78,34190
23131,2017,DINSG,ICD10B,ICD10-Q30-Q34,2329
23131,2019,DINSG,ICD10B,ICD10-Q65-Q79,23362
23131,2017,DINSG,ICD10B,ICD10-O94-O99,41004
23131,2023,DINSG,ICD10B,ICD10-U55-U55,1
23131,2020,DINSG,ICD10B,ICD10-G30-G32,23595
23131,2017,DINSG,ICD10B,ICD10-B65-B83,1418
23131,2018,DINSG,ICD10B,ICD10-F80-F89,7817
23131,2020,DINSG,ICD10B,ICD10-N25-N29,6071
23131,2015,DINSG,ICD10B,ICD10-G80-G83,18809
